well_id,bin_id
15099236020000,g10_1
15099236030000,g10_1
15099236050000,g10_1
15099236060000,g10_1
15099236070000,g10_1
15099236100000,g10_1
15099236120000,g10_1
15099236240000,g10_1
15099236300000,g10_1
15099236310000,g10_1
15099236320000,g10_1
15099236330000,g10_1
15099236340000,g10_1
15099236350000,g10_1
15099236360000,g10_1
15099236370000,g10_1
15099236390000,g10_1
15099236400000,g10_1
15099236420000,g10_1
15099236430000,g10_1
15099236440000,g10_1
15099236460000,g10_1
15099236720000,g10_1
15099236730000,g10_1
15099236750000,g10_1
15099236760000,g10_1
15099236770000,g10_1
15099236780000,g10_1
15099236790000,g10_1
15099236800000,g10_1
15099236810000,g10_1
15099236880000,g10_1
15099236950000,g10_1
15099237260000,g10_1
15099237270000,g10_1
15099237280000,g10_1
15099237290000,g10_1
15099237320000,g10_1
15099237330000,g10_1
15099237340000,g10_1
15099237430000,g10_1
15099238040000,g10_1
15099238050000,g10_1
15099238100000,g10_1
15099238110000,g10_1
15099238120000,g10_1
15099238130000,g10_1
15099238140000,g10_1
15099238150000,g10_1
15099238180000,g10_1
15099238200000,g10_1
15099238210000,g10_1
15099238220000,g10_1
15099238240000,g10_1
15099238250000,g10_1
15099238260000,g10_1
15099238270000,g10_1
15099238280000,g10_1
15099238290000,g10_1
15099238300000,g10_1
15099238370000,g10_1
15099238370000,g10_1
15099238380000,g10_1
15099238400000,g10_1
15099238410000,g10_1
15099238420000,g10_1
15099238480000,g10_1
15099238480000,g10_1
15099238540000,g10_1
15099238540000,g10_1
15099238540000,g10_1
15099238550000,g10_1
15099238550000,g10_1
15099238560000,g10_1
15099238560000,g10_1
15099238580000,g10_1
15099238580000,g10_1
15099238590000,g10_1
15099238590000,g10_1
15099238620000,g10_1
15099238670000,g10_1
15099238690000,g10_1
15099238690000,g10_1
15099238740000,g10_1
15099238740000,g10_1
15099238800000,g10_1
15099239000000,g10_1
15099239000000,g10_1
15099239010000,g10_1
15099239010000,g10_1
15099239020000,g10_1
