rep_id,cell_id,cell_tag,score,url,kgs_id,api,api_num_nodash,operator,lease,lat,lon,las_path,picked_gr,picked_por,picked_den,picked_neu,picked_pe,picked_dt
33,g0_4,,17.210,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2012/1044101543.las,1041460294,15-071-20876,15071208760000,"Murfin Drilling Co., Inc.",Davis T 1-2,38.60850350,-102.04306840,data/las/1044101543.las,GR,DPOR,RHOB,,,DT
34,g0_4,,16.050,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/15S42W/1033974729.las,1006169582,15-199-20077,15199200770000,PETROLEUM INC,PALEN 2,38.70418490,-102.00351060,data/las/1033974729.las,GR,DPHI,,NPHI,,
35,g0_4,,10.030,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820034.las,1006066888,15-071-20314,15071203140000,MARLIN OIL,HALE 1,38.67795840,-102.00147260,data/las/1033820034.las,GR,,,,,
36,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/15S42W/1008458992.las,1026654602,15-199-10031-0001,15199100310001,PHILLIPS PETR CORP,SOUTHWEST WALLACE PROSPECT 1,38.75750400,-102.03649350,data/las/1008458992.las,GR,,,,,
37,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/15S42W/1028091341.las,1006169642,15-199-20109,15199201090000,TXO Production Corp.,Wallace 'R' 2,38.71512440,-102.01261270,data/las/1028091341.las,GR,,,,,
38,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820045.las,1006066936,15-071-20344,15071203440000,MARLIN OIL,WALDO 1,38.68054440,-102.00181840,data/las/1033820045.las,GR,,,,,
39,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1028091450.las,1006066936,15-071-20344,15071203440000,MARLIN OIL,WALDO 1,38.68054440,-102.00181840,data/las/1028091450.las,GR,,,,,
40,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S42W/1033820033.las,1006067043,15-071-20405,15071204050000,MARLIN OIL,ARCHIE 1,38.68235580,-102.00181650,data/las/1033820033.las,GR,,,,,
41,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S43W/1028091453.las,1006067075,15-071-20424,15071204240000,TXO PRODUCTION CORP,F. EDSALL 16,38.69150000,-102.01955000,data/las/1028091453.las,GR,,,,,
42,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S43W/1028091454.las,1006066841,15-071-20288,15071202880000,TXO PRODUCTION CORP,EDSALL 'E' 2,38.67694630,-102.03576960,data/las/1028091454.las,GR,,,,,
43,g0_4,,10.020,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/16S43W/1028091455.las,1006066801,15-071-20266,15071202660000,TXO PRODUCTION CORP,GARRISON 'A' 3,38.67309560,-102.02876920,data/las/1028091455.las,GR,,,,,
44,g10_1,,20.130,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044815813.las,1044097075,15-019-27192,15019271920000,Bratco Operating Co.,Kincaid Trust 1,37.00058900,-95.98000540,data/las/1044815813.las,GR,DPOR,RHOB,NPOR,,
45,g10_1,,20.110,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2013/1044597073.las,1043566623,15-125-32056,15125320560000,"Layne Energy Operating, LLC",Shultz 4M-2,37.38384730,-95.85451460,data/las/1044597073.las,GR,DPOR,RHOB,NPOR,,
46,g10_1,,20.100,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2010/1043562177.las,1042765901,15-205-27861,15205278610000,"Layne Energy Operating, LLC",Hummer 9A-28,37.40732810,-95.87076660,data/las/1043562177.las,GR,DPOR,RHOB,NPOR,,
47,g10_1,,20.090,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2018/1046766919.las,1045106246,15-125-32459,15125324590000,"Polaris Energy, Inc.",J Garner A4B-27,37.23962190,-95.74964430,data/las/1046766919.las,GR,DPOR,RHOB,NPOR,,
48,g10_1,,16.070,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S13E/1044226417.las,1002909025,15-049-22318,15049223180000,WILLIAMS NATURAL GAS,ELK CITY STORAGE 60,37.35272240,-95.96520450,data/las/1044226417.las,GR,,RHOB,NPHI,,
49,g10_1,,16.060,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/31S14E/1044226423.las,1033431961,15-125-30794,15125307940000,"Layne Energy Operating, LLC",CHISM 16-33 SWD,37.29924270,-95.87414850,data/las/1044226423.las,GR,,RHOB,NPHI,,
50,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812825.las,1031895691,15-133-26248,15133262480000,"Quest Cherokee, LLC","Showalter, Diana 29-1",37.49139010,-95.34510270,data/las/1055812825.las,GR,,,,,
51,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385291.las,1030279231,15-099-23385,15099233850000,"Quest Cherokee, Inc.",Cole 1-8,37.00577970,-95.35753830,data/las/1055385291.las,GR,,,,,
52,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814225.las,1031640210,15-205-25844,15205258440000,"Quest Cherokee, LLC","Callarman, Eugene J. 35-1",37.48448660,-95.61697800,data/las/1055814225.las,GR,,,,,
53,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385302.las,1031002752,15-099-23450,15099234500000,"Quest Cherokee, LLC",Laforge 1-31,37.29693310,-95.47130580,data/las/1055385302.las,GR,,,,,
54,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812703.las,1030455891,15-099-23400,15099234000000,"Quest Cherokee, LLC",BAUGHER 6-1,37.37223110,-95.37185150,data/las/1055812703.las,GR,,,,,
55,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385296.las,1030571310,15-099-23429,15099234290000,"Quest Cherokee, LLC","Trotter, Rita J. 16-1",37.35225060,-95.43236720,data/las/1055385296.las,GR,,,,,
56,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812765.las,1031003186,15-133-26063,15133260630000,"Quest Cherokee, LLC",LECK FAMILY TRUST 19-1,37.42202670,-95.48735070,data/las/1055812765.las,GR,,,,,
57,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055385294.las,1030571272,15-099-23410,15099234100000,"Quest Cherokee, LLC","Pearce, Clarence E. 1-1",37.37095270,-95.38708760,data/las/1055385294.las,GR,,,,,
58,g10_1,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055814202.las,1030614929,15-099-23433,15099234330000,"Quest Cherokee, LLC","Bussinger, Charles R. 11-1",37.35979560,-95.41020880,data/las/1055814202.las,GR,,,,,
59,g10_2,,23.090,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055298377.las,1034468702,15-001-29376,15001293760000,Admiral Bay (USA) Inc.,MIDDENDORF 10-19,37.76726690,-95.47731830,data/las/1055298377.las,GR,DPOR,RHOB,NPOR,PE,
60,g10_2,,20.110,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045637794.las,1044634824,15-001-30846,15001308460000,Colt Energy Inc,Cline FG-4,37.96287730,-95.43067340,data/las/1045637794.las,GR,DPOR,RHOB,NPOR,,
61,g10_2,,20.090,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2018/1046549431.las,1045114067,15-207-29316,15207293160000,Colt Energy Inc,SCHAFER CS-18,37.77273750,-95.85497880,data/las/1046549431.las,GR,DPOR,RHOB,NPOR,,
62,g10_2,,20.080,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/24S14E/1044243211.las,1037034537,15-207-27201,15207272010000,"Haas Petroleum, LLC",SMITH-JOBES 13-H,37.97841260,-95.91589010,data/las/1044243211.las,GR,,RHOB,NPHI,PE,DT
63,g10_2,,15.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2016/1045627783.las,1044877833,15-207-28982,15207289820000,Legend Oil & Gas Ltd.,Massoth Ellis 9,37.85696390,-95.53087260,data/las/1045627783.las,GR,,RHOB,,PE,
64,g10_2,,15.190,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1044983899.las,1044881854,15-207-29006,15207290060000,Colt Energy Inc,Scott 12,37.76994820,-95.84883790,data/las/1044983899.las,GR,,RHOB,,PE,
65,g10_2,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2025/1056364646.las,1031882090,15-205-25901,15205259010000,"Quest Cherokee, LLC",Estes Revocable Trust 26-1,37.49907470,-95.62599260,data/las/1056364646.las,GR,,,,,
66,g10_2,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055812798.las,1031881602,15-133-26185,15133261850000,"Quest Cherokee, LLC","Leck, Marvin G. 19-1",37.50895350,-95.48690300,data/las/1055812798.las,GR,,,,,
67,g10_2,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044906857.las,1044185011,15-133-27606,15133276060000,PostRock Midcontinent Production LLC,"Stich, William A. 20-8",37.59844550,-95.34659150,data/las/1044906857.las,GR,,,,,
68,g10_2,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2014/1044815517.las,1044106587,15-205-28013,15205280130000,PostRock Midcontinent Production LLC,Clinesmith 4-6,37.73190590,-95.76526550,data/las/1044815517.las,GR,,,,,
69,g10_2,,10.150,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2024/1055386276.las,1044657070,15-001-30879,15001308790000,"SCZ Resources, LLC",Kendall Dice D-28,37.76156360,-95.42829990,data/las/1055386276.las,GR,,,,,
70,g10_2,,10.140,https://www.kgs.ku.edu/b_1/WebDocs/WellLogs/kcc_logs_2015/1045062666.las,1044579467,15-133-27695,15133276950000,PostRock Midcontinent Production LLC,"Kramer, Jerry L. 20-3",37.50321050,-95.34529680,data/las/1045062666.las,GR,,,,,
