src_id,dst_id,dist_km,pad_ft,overlap_ft,overlap_frac,status,dtw_cost,dtw_cost_per_step
3847,3852,0.8186112552369125,10.0,599.75,0.9844878529218647,end_mismatch,179.38339390083507,0.6570820289407878
19369,19380,4.240130988795962,10.0,1020.0,0.422360248447205,ok,186.21704216660314,0.6771528806058296
9440,9444,1.2875640717987602,10.0,4847.0,1.0,ok,167.41846773172284,0.6365721206529386
13048,13049,0.6175946847667584,10.0,2630.5,0.9887239240744221,ok,177.44683220196774,0.6824878161614144
1058,1104,0.1502257060820697,10.0,739.5,1.0,ok,149.68774589513933,0.5735162677974687
3330,3333,1.8235549179809352,10.0,726.2,1.0,ok,174.21927646358677,0.6525066534216732
582,586,4.4703780196983,10.0,1913.0,0.9886304909560724,ok,187.62783566890167,0.689808219370962
22478,22483,1.4998234311194056,10.0,6184.0,1.0,ok,179.00649884865828,0.6806330754701836
16850,16870,1.4543263864738565,10.0,3705.5,1.0,ok,169.44387021716264,0.6467323290731398
23338,23341,0.308068488466329,10.0,494.5,0.262264651286131,ok,179.50771664649918,0.674841040024433
15322,15324,2.8661311639382907,10.0,2805.5,1.0,ok,176.57614136557726,0.6713921724926892
15148,15171,2.1465370166410853,10.0,3040.5,0.9774955794888281,ok,178.20069870651653,0.6775691966027244
14408,15169,4.8847414975977035,10.0,2950.0,0.9841534612176814,ok,193.2754416319928,0.7348876107680334
16333,16351,1.136269730815638,10.0,669.0,1.0,ok,167.332882811564,0.6107039518670219
470,530,7.576120459587212,10.0,598.1,1.0,ok,188.1343552152873,0.7235936739049511
1996,2003,0.1885575129754667,10.0,494.4,1.0,ok,176.57991919159622,0.6739691572198329
14931,14944,2.488497649463817,10.0,4385.5,1.0,ok,175.83494218756516,0.666041447680171
11383,11390,4.049276758139865,10.0,2561.0,1.0,ok,183.21581250013398,0.6887812500005037
23010,23283,0.4439050756966692,10.0,4973.5,1.0,ok,178.03195804651435,0.6821147817874113
12243,12248,1.0851252490183585,10.0,800.0,1.0,ok,175.9450038936397,0.6565112085583571
1973,2019,0.8852970420113873,10.0,497.5,1.0,ok,193.86047876342172,0.7484960570016282
6993,6995,3.4715460463908534,10.0,1817.0,0.9082729317670583,ok,186.66913674672165,0.669065006260651
5143,5398,2.7411671779852553,10.0,986.5,0.9899648770697441,ok,172.3676935222373,0.6604126188591467
9164,9172,3.195063902328697,10.0,3648.5,0.9806477623975273,ok,183.87371192217066,0.6810137478598913
10024,10030,1.23747809794742,10.0,2153.0,1.0,ok,194.28726984844843,0.7415544650704139
7276,7283,6.440485477514007,10.0,4863.0,1.0,ok,180.28873854920218,0.6881249562946649
16477,16480,1.2542030096681862,10.0,828.0,1.0,ok,161.01055162541633,0.6030357738779638
22533,22540,0.4086612392572527,10.0,4710.0,1.0,ok,171.28032300757752,0.6562464483048948
5407,5444,0.3382966051237921,10.0,811.0,1.0,ok,165.81146417241072,0.6280737279257982
1799,1839,7.499162574934449,10.0,300.1,0.3916476345840131,end_mismatch,170.9830157240743,0.5855582730276517
13115,13116,2.384535254842441,10.0,2641.5,0.9738248847926267,ok,178.39252038590982,0.6834962466893096
23116,23120,4.53553560383914,10.0,4895.0,1.0,ok,181.5480828358445,0.6850871050409226
21096,21112,0.471257175921177,10.0,1000.0,1.0,ok,162.60095567400455,0.6159127108863809
6759,6764,3.426726800717334,10.0,2502.5,0.9280548859632858,ok,177.33105125939514,0.6641612406718919
2351,2352,2.885921636283605,10.0,1210.0,1.0,read_fail,,
10367,10369,0.4952494290034089,10.0,3491.5,1.0,ok,178.4061987678858,0.6861776875687915
9507,9511,1.6520385537858702,10.0,0.0,0.0,no_overlap,,
8555,9064,3.4016762318210696,10.0,3595.0,0.9847966032050404,ok,179.9539227239813,0.6739847293033008
17417,18041,3.659272649481456,10.0,1047.0,1.0,ok,215.0254053810486,0.8366747291091385
4257,4258,0.7675853114544001,10.0,1168.6,1.0,ok,170.71152145029063,0.6540671319934507
22167,22190,7.018722301093455,10.0,550.0,1.0,ok,189.67796644245456,0.7025109868239058
17866,17867,0.4021441422046487,10.0,120.0,0.6666666666666666,ok,199.09242554939567,0.7346583968612387
1509,1511,3.0677886441826665,10.0,303.0,0.08911764705882352,read_fail,,
8002,8326,4.438306210021855,10.0,3795.5,1.0,ok,182.3965677008855,0.6935230711060285
13398,13404,0.8118465867006949,10.0,4380.5,1.0,ok,190.76585457223447,0.7281139487489865
6433,6779,5.726477755037367,10.0,2791.5,1.0,ok,181.272646443051,0.6544138860759964
18937,18945,4.7064296109091455,10.0,4513.0,1.0,ok,178.08230559796152,0.6797034564807691
19797,19803,6.298376044100601,10.0,110.0,0.08461538461538462,end_mismatch,169.64797290547347,0.5692884996827968
11721,11735,1.6341010579019504,10.0,4382.0,1.0,ok,170.3446481250684,0.6428099929247865
12641,12644,0.9423656254575796,10.0,4417.5,1.0,ok,180.27220533268533,0.6777150576416742
7631,7632,0.9825203095789796,10.0,1348.0,1.0,ok,174.5966267290882,0.6466541730706971
22888,22889,0.4504445744194686,10.0,4710.5,0.9989396670554554,ok,162.8105167308903,0.6237950832601161
6531,6533,0.211927789099836,10.0,4315.5,1.0,ok,163.9344520972236,0.6233249129172
8642,8659,1.332710113689439,10.0,3795.0,1.0,ok,178.27206309286103,0.6727247663881548
20291,20311,0.7096472387859605,10.0,4484.25,0.9899006622516556,ok,167.63176212179687,0.6447375466222957
14030,14031,0.2256571266849141,10.0,4530.0,1.0,ok,178.59469355770182,0.6764950513549312
10422,10426,3.6730821598011167,10.0,4035.5,0.9996284369581372,ok,187.18575322896868,0.7090369440491238
18594,18956,7.246351456805807,10.0,4404.5,1.0,ok,180.00820822589793,0.6818492735829467
20669,20671,0.7955777464418777,10.0,4170.0,1.0,ok,175.0519126093326,0.668137071027987
12653,12654,0.6768555373203943,10.0,4190.0,1.0,ok,173.12242838436262,0.6435778006853629
22654,22658,4.3029106374355885,10.0,4521.0,0.9783596624107336,ok,176.43018549145944,0.6682961571646191
18372,18385,0.6412111196571911,10.0,230.0,0.92,ok,177.27151415499458,0.6399693651804859
22840,22848,4.987832035160079,10.0,4937.5,1.0,ok,184.32884883945468,0.6903702203724894
19232,19243,3.3537932382189175,10.0,2879.5,0.8494100294985251,ok,180.57417229975042,0.683993076892994
11228,11987,6.281438286933527,10.0,2500.5,0.9154310818231741,end_mismatch,192.93062891854544,0.6915076305324209
19292,19294,0.8041971419746469,10.0,4258.0,0.8661513425549227,end_mismatch,183.49096743943954,0.4077577054209768
5669,5979,1.1666170173491344,10.0,877.65,0.9789737869492471,ok,196.30165696842235,0.7492429655283296
17272,17286,2.6470945659784197,10.0,3408.5,0.997074740383209,ok,177.95596220474158,0.6740756144118999
16544,16547,1.9409302223945215,10.0,1757.5,1.0,ok,177.89139189680327,0.6712882713086916
