src_rep_id,dst_rep_id,dtw_cost,dtw_steps,dtw_cost_per_step,dtw_status,dtw_error,dist_km,source,sim
52,65,255.04553257425496,80,3.188069157178187,OK,,1.8066091428075988,quadrant,2.8957204183888095e-06
52,66,264.9700463214075,80,3.312125579017594,OK,,11.79342200775262,quadrant,1.7629847298031375e-06
52,56,269.83218028148934,80,3.3729022535186166,OK,,13.385315500865945,quadrant,1.3825111837450516e-06
52,53,279.51798199145816,80,3.493974774893227,OK,,24.506263837319036,quadrant,8.518127599610944e-07
52,73,286.46212439278645,80,3.5807765549098307,OK,,13.280480598195211,quadrant,6.019411104235287e-07
52,55,286.8418544128594,80,3.5855231801607426,OK,,21.954822912267176,quadrant,5.906201675587599e-07
53,54,259.3272090053701,80,3.2415901125671263,OK,,12.141635548677705,quadrant,2.3376592488158546e-06
53,57,268.7756424582105,80,3.359695530727631,OK,,11.098893243140823,quadrant,1.4575084474193614e-06
53,145,279.18518888761264,80,3.489814861095158,OK,,16.333172595921226,quadrant,8.661052115375265e-07
53,55,270.4603146545262,80,3.3807539331815777,OK,,7.049123879711135,quadrant,1.3397658035767354e-06
53,58,295.7628230129369,80,3.6970352876617114,OK,,8.834218360865902,quadrant,3.780871355186083e-07
53,134,322.16333453115715,80,4.0270416816394645,OK,,21.47602659337229,quadrant,1.0099783797141743e-07
54,131,296.86030934179445,80,3.7107538667724307,OK,,15.295673814118516,quadrant,3.5789883757300483e-07
54,57,275.53981191273255,80,3.444247648909157,OK,,1.353874271143444,quadrant,1.0392714744285995e-06
54,145,282.551404161438,80,3.5318925520179745,OK,,15.114748510026748,quadrant,7.31937866753594e-07
54,58,300.9145251571861,80,3.7614315644648264,OK,,3.6610076426647975,radius,2.922295370017135e-07
55,57,248.3929686801165,80,3.1049121085014564,OK,,4.509904326842528,radius,4.038454720827015e-06
55,58,281.1811385472052,80,3.514764231840065,OK,,2.1306402491226812,quadrant,7.838431288571486e-07
55,56,285.5130046167214,80,3.5689125577090173,OK,,9.154046181412722,quadrant,6.311954784646561e-07
56,66,255.60498191137432,80,3.1950622738921792,OK,,9.665913262714668,quadrant,2.8158423762765336e-06
56,57,284.33849939713303,80,3.554231242464163,OK,,10.521513190985397,quadrant,6.69372607582885e-07
56,58,310.8014229138002,80,3.8850177864225026,OK,,9.712355967835562,quadrant,1.7825136040241694e-07
57,58,284.9892755018588,80,3.562365943773235,OK,,2.3904857394038137,quadrant,6.479425673900684e-07
59,69,263.77233374554453,80,3.2971541718193067,OK,,4.355315596825884,quadrant,1.8717875262653385e-06
59,72,275.20179181046296,80,3.440022397630787,OK,,19.318407461178516,quadrant,1.0569854775043143e-06
59,68,280.0483708158437,80,3.5006046351980467,OK,,25.620196307524846,quadrant,8.295200629640558e-07
59,63,309.9372310035243,80,3.8742153875440537,OK,,11.027740312932844,quadrant,1.8612235625572732e-07
60,151,279.944757204863,80,3.4993094650607874,OK,,16.97223916221939,quadrant,8.338286925993952e-07
60,80,293.77569363757976,80,3.6721961704697472,OK,,13.270142770989573,quadrant,4.175820930691204e-07
60,87,307.49839888263296,80,3.843729986032912,OK,,8.847695446595726,quadrant,2.1026021712869204e-07
60,63,316.582357375143,80,3.957279467189287,OK,,14.695987681875298,quadrant,1.335062066058585e-07
61,64,280.43756231880815,80,3.5054695289851017,OK,,0.6225228177200713,quadrant,8.135340004117205e-07
61,84,284.8324184078756,80,3.560405230098445,OK,,27.686257558731334,quadrant,6.530442665916975e-07
61,71,288.045688032872,80,3.6005711004109004,OK,,18.01059399258295,quadrant,5.561185190552276e-07
61,947,293.7523179977933,80,3.671903974972416,OK,,39.60994246696352,quadrant,4.1807044082900485e-07
61,950,293.7800838595291,80,3.6722510482441137,OK,,39.507395141200604,quadrant,4.174904392254745e-07
61,62,314.91110604877093,80,3.9363888256096367,OK,,23.486636886882735,quadrant,1.451417040490871e-07
62,84,299.71121226779445,80,3.7463901533474306,OK,,12.472847503058537,quadrant,3.103514061050076e-07
62,955,300.4241691010303,80,3.755302113762879,OK,,18.757406989664812,quadrant,2.9948291830678504e-07
62,85,308.81621875536734,80,3.8602027344420917,OK,,8.056005739324668,quadrant,1.9685253579635918e-07
62,68,309.7489465011195,80,3.871861831263994,OK,,30.433612540215652,quadrant,1.8788282775274044e-07
62,64,311.16457699144934,80,3.889557212393117,OK,,23.915683854889267,quadrant,1.7504393286746487e-07
63,68,292.76981977888914,80,3.6596227472361145,OK,,24.85058211806583,quadrant,4.391209325866218e-07
63,80,299.6702548920736,80,3.7458781861509203,OK,,19.213805672543362,quadrant,3.109876162774078e-07
63,69,303.75573851077917,80,3.7969467313847396,OK,,13.918673729859574,quadrant,2.5352917658228104e-07
63,151,307.6328846027946,80,3.8454110575349327,OK,,21.607354162407834,quadrant,2.08851110221042e-07
64,68,298.0900775219154,80,3.7261259690239426,OK,,8.478323912461567,quadrant,3.36555127174328e-07
64,71,303.1669239603653,80,3.789586549504566,OK,,17.45746373014202,quadrant,2.611042202516481e-07
64,937,323.88003300552424,80,4.048500412569053,OK,,38.25810614740932,quadrant,9.269033320098478e-08
65,72,277.53183214539484,80,3.4691479018174354,OK,,13.318598555743089,quadrant,9.40746989795904e-07
65,66,272.00461431089366,80,3.4000576788861707,OK,,12.318479592972011,quadrant,1.2402089114716926e-06
65,73,295.02812747636665,80,3.687851593454583,OK,,12.25227342664393,quadrant,3.9223433836440885e-07
66,67,269.6785511718421,80,3.3709818896480264,OK,,15.874968535796947,quadrant,1.3931717738623124e-06
66,70,276.12278041323714,80,3.451534755165464,OK,,12.507366808074917,quadrant,1.0094155876571048e-06
66,72,284.0886135164848,80,3.5511076689560603,OK,,13.921405916319829,quadrant,6.777884110402551e-07
67,70,278.35259880205723,80,3.4794074850257153,OK,,10.590278537970196,quadrant,9.029217525045667e-07
67,69,282.2640077546517,80,3.528300096933146,OK,,19.511277766052654,quadrant,7.42531615236762e-07
67,72,291.12690869671525,80,3.6390863587089406,OK,,20.290662047281735,quadrant,4.767157503804615e-07
67,151,292.9912528489829,80,3.6623906606122865,OK,,29.86703042450269,quadrant,4.342859527747835e-07
67,155,298.8404059122807,80,3.7355050739035085,OK,,29.573356772274423,quadrant,3.2416269711061086e-07
68,71,280.826017009447,80,3.5103252126180875,OK,,10.709191669598566,quadrant,7.978854066699803e-07
68,72,291.714214386238,80,3.646427679827975,OK,,21.305437925297266,quadrant,4.629204002660965e-07
69,151,280.75313245387116,80,3.5094141556733893,OK,,16.88032010889369,quadrant,8.007983873920996e-07
