rep_id,status,n_raw,n_finite_gr,z_min,z_max,z_fin_min,z_fin_max,n_samples,p_lo,p_hi,p_lo_val,p_hi_val,fill_nans,max_gap_depth,imputed_frac_rs
138,OK,461,461,0.0,230.0,0.0,230.0,400,1.0,99.0,17.99695897243108,58.559877593984965,True,,0.0
139,OK,761,734,0.0,380.0,7.0,373.5,400,1.0,99.0,34.527817142857145,76.66117333333308,True,,0.0375
140,OK,661,661,0.0,330.0,0.0,330.0,400,1.0,99.0,30.171,85.27866240601502,True,,0.0
141,OK,1001,994,0.0,500.0,0.0,496.5,400,1.0,99.0,36.04947468671682,208.3436048120301,True,,0.0075
142,OK,1061,1021,0.0,530.0,0.0,510.0,400,1.0,99.0,18.68139268170425,83.9021881453637,True,,0.04
143,OK,531,531,0.0,265.0,0.0,265.0,400,1.0,99.0,5.916138219648121,135.90351330079767,True,,0.0
144,OK,8802,8723,0.6,880.7,0.6,872.8,400,1.0,99.0,-35.0,292.28887218046094,True,,0.01
145,OK,8160,8085,20.5,836.4,20.5,828.9,400,1.0,99.0,14.366528822055109,264.7967669172901,True,,0.01
146,OK,1157,1073,0.0,578.0,0.5,536.5,400,1.0,99.0,35.29709899749382,337.9579528822053,True,,0.075
147,OK,983,925,0.0,491.0,0.5,467.0,400,1.0,99.0,39.232915789473665,407.48749273182955,True,,0.0525
148,OK,1372,1288,20.0,705.5,20.5,664.0,400,1.0,99.0,35.42870601503754,320.9727909774425,True,,0.065
149,OK,959,926,22.0,501.0,28.5,491.0,400,1.0,99.0,22.939147328320754,257.41788161403616,True,,0.0375
150,OK,8713,8339,0.5,871.7,30.4,864.2,400,1.0,99.0,12.654849624060063,226.54897744360764,True,,0.045
151,OK,1861,1831,55.0,985.0,55.0,970.0,400,1.0,99.0,23.195738195488673,216.66273224059972,True,,0.0175
152,OK,2158,2158,-18.5,1060.0,-18.5,1060.0,400,1.0,99.0,10.181495774436089,235.82540075188064,True,,0.0
153,OK,1048,256,-16.0,507.5,357.0,484.5,400,1.0,99.0,24.128379187969735,127.99212339849637,True,,0.7575
