rep_id,lat,lon,bin_id
109,39.4380193,-95.9530043,g10_5
110,39.4380193,-95.9530043,g10_5
111,39.4380193,-95.9530043,g10_5
112,39.4380193,-95.9530043,g10_5
113,39.4380193,-95.9530043,g10_5
114,39.4380193,-95.9530043,g10_5
115,39.4380193,-95.9530043,g10_5
116,39.4380193,-95.9530043,g10_5
117,39.702804,-95.8970923,g10_6
118,39.8502556,-95.8429259,g10_6
119,39.7150162,-95.8895894,g10_6
120,39.6538925,-95.9375917,g10_6
121,39.9085012,-95.8683566,g10_6
122,39.9585958,-95.8891193,g10_6
123,39.82514,-95.9684439,g10_6
124,39.6704449,-95.9182299,g10_6
125,39.9604344,-95.8200108,g10_6
126,39.927612,-95.5447347,g10_6
127,39.6170756,-95.711248,g10_6
128,39.7997212,-95.7954696,g10_6
129,39.7309353,-95.8907909,g10_6
130,39.9627339,-95.7233031,g10_6
131,37.3291176,-95.2075289,g11_1
132,37.1356096,-95.3368076,g11_1
133,37.1356085,-95.3323488,g11_1
134,37.1356077,-95.33796,g11_1
135,37.4124842,-94.8499916,g11_1
136,37.1953451,-94.758883,g11_1
137,37.4710318,-94.9055632,g11_1
138,37.088667,-94.9586941,g11_1
139,37.2962919,-94.9128736,g11_1
140,37.3967197,-94.7881812,g11_1
141,37.4842742,-94.7719688,g11_1
142,37.3833013,-94.9237532,g11_1
143,37.105942,-94.8782517,g11_1
144,37.0130859,-95.3484142,g11_1
145,37.2503213,-95.2962567,g11_1
146,37.9167505,-94.8391107,g11_2
147,37.7712163,-94.8435037,g11_2
148,37.7449863,-94.931337,g11_2
149,37.9113063,-94.8267571,g11_2
150,38.0001987,-94.9775345,g11_2
151,37.8625698,-95.2848501,g11_2
152,37.8721432,-94.8803895,g11_2
153,37.785161,-94.8750411,g11_2
154,37.6161158,-94.6939135,g11_2
155,37.7245687,-95.0508079,g11_2
156,37.8351643,-95.0600211,g11_2
157,37.8351643,-95.0600211,g11_2
158,37.5570973,-94.7785754,g11_2
159,37.8914554,-94.8128829,g11_2
160,37.9900062,-95.118396,g11_2
161,38.477161,-94.9055913,g11_3
162,38.141021,-94.9328529,g11_3
163,38.0794246,-95.0367625,g11_3
164,38.0095656,-94.9759614,g11_3
165,38.1794101,-95.0467033,g11_3
