node_id,status,las_path,z_top,z_base,n_finite_raw
130,ok,data/las/1044858967.las,195.0,3204.5,5998.0
131,ok,data/las/1055386303.las,-16.25,1595.75,31905.0
132,ok,data/las/1055385265.las,-7.25,1305.5,26113.0
133,ok,data/las/1055385222.las,-6.25,1344.25,26863.0
134,ok,data/las/1055385223.las,-6.75,1326.75,26523.0
135,ok,data/las/1055385221.las,-6.25,1342.25,26823.0
136,ok,data/las/1055385224.las,-6.25,1324.5,26468.0
137,ok,data/las/1056364616.las,-6.25,1323.25,26443.0
138,ok,data/las/1055386103.las,-6.25,1416.75,28313.0
139,ok,data/las/1045098417.las,0.1,1301.8,13017.0
140,ok,data/las/1055386250.las,-5.0,1299.0,25985.0
141,ok,data/las/1044798866.las,-4.0,1410.5,2796.0
142,ok,data/las/1044798574.las,-4.0,1410.5,2796.0
143,ok,data/las/1044798869.las,-4.0,1395.5,2767.0
144,ok,data/las/1044798588.las,-4.0,1395.5,2767.0
145,ok,data/las/1044876341.las,-2.0,1475.5,2933.0
146,ok,data/las/1044817565.las,-3.0,1509.0,2968.0
147,ok,data/las/1044817629.las,-4.0,1510.5,2971.0
148,ok,data/las/1055385225.las,1314.75,1464.25,2858.0
149,ok,data/las/1008459005.las,150.0,2330.0,4361.0
150,ok,data/las/1055386212.las,-1.5,1484.0,29580.0
151,ok,data/las/1044251200.las,996.0,2019.0,2037.0
152,ok,data/las/1044913841.las,998.0,2018.0,2037.0
153,ok,data/las/1044077622.las,1160.0,2098.0,1877.0
154,ok,data/las/1020068867.las,0.0,2300.0,4596.0
155,ok,data/las/1020068868.las,0.0,2151.0,4303.0
156,ok,data/las/1008459015.las,89.0,2188.0,4173.0
157,ok,data/las/1020068869.las,90.0,2200.0,4216.0
158,ok,data/las/1020068870.las,0.0,2000.0,3993.0
159,ok,data/las/1020068871.las,50.0,1915.0,3731.0
160,ok,data/las/1020068872.las,0.0,1812.0,3606.0
161,ok,data/las/1020068860.las,179.0,2188.0,4019.0
162,ok,data/las/1020068883.las,75.0,1231.0,2285.0
163,ok,data/las/1020068866.las,82.0,1576.0,2989.0
164,ok,data/las/1020068861.las,0.0,1714.0,3429.0
165,ok,data/las/1008459016.las,288.0,1316.0,2009.0
166,ok,data/las/1008459017.las,164.0,3104.0,5831.0
167,ok,data/las/1020068843.las,0.0,3377.0,6751.0
168,ok,data/las/1020068842.las,204.0,3574.0,5372.0
169,ok,data/las/1020068862.las,151.0,3381.0,6461.0
170,ok,data/las/1020068840.las,302.0,3617.0,6619.0
171,ok,data/las/1044077645.las,282.0,3636.0,6650.0
172,ok,data/las/1044243210.las,282.0,3631.0,6645.0
173,ok,data/las/1020068844.las,200.0,3526.0,6651.0
174,ok,data/las/1055385280.las,-7.0,1471.25,29418.0
175,ok,data/las/1055385220.las,-6.25,1440.75,28793.0
176,ok,data/las/1055385219.las,-6.25,1453.0,29038.0
177,ok,data/las/1055814125.las,-5.75,1997.6,39760.0
178,ok,data/las/1055814124.las,-5.25,1522.75,30408.0
179,ok,data/las/1045042308.las,190.0,3090.5,5752.0
180,ok,data/las/1020068242.las,184.0,2182.0,3997.0
181,ok,data/las/1020068243.las,0.0,2180.0,4359.0
182,ok,data/las/1008459001.las,209.0,2209.0,3999.0
183,ok,data/las/1044095069.las,145.0,1037.0,1750.0
184,ok,data/las/1044907610.las,145.0,1625.5,2902.0
185,ok,data/las/1056364783.las,5.25,1029.0,20343.0
186,ok,data/las/1020068884.las,0.0,1094.0,2188.0
187,ok,data/las/1008459011.las,198.0,3306.0,6216.0
188,ok,data/las/1008458849.las,255.0,3284.0,6005.0
189,ok,data/las/1020068845.las,200.0,3089.0,5721.0
190,ok,data/las/1020068239.las,20.0,3341.0,6641.0
191,ok,data/las/1020068240.las,224.0,3200.0,5953.0
192,ok,data/las/1020068846.las,230.0,3347.0,4513.0
193,ok,data/las/1008459003.las,0.0,3113.0,6226.0
194,ok,data/las/1020068241.las,0.0,3080.0,6147.0
195,ok,data/las/1028091116.las,1.0,610.5,1220.0
196,ok,data/las/1045064177.las,195.0,3400.5,6351.0
197,ok,data/las/1020068847.las,206.0,2354.0,4297.0
198,ok,data/las/1020068848.las,0.0,2595.0,5145.0
199,ok,data/las/1020068245.las,278.0,2366.0,4174.0
200,ok,data/las/1050377237.las,247.0,2175.0,3780.0
201,ok,data/las/1020068249.las,230.0,2020.0,3581.0
202,ok,data/las/1044077647.las,760.0,1830.0,2045.0
203,ok,data/las/1020068849.las,215.0,2262.0,2540.0
